Gene,Control_1,Control_2,Treated_1,Treated_2,Control_Avg,Treated_Avg,Difference,Regulation
TP53,5.2,5.5,8.1,8.3,5.35,8.2,2.8499999999999996,Upregulated
BRCA1,3.1,3.0,2.2,2.4,3.05,2.3,-0.75,Downregulated
MYC,7.5,7.8,10.2,10.5,7.65,10.35,2.6999999999999993,Upregulated
EGFR,4.2,4.0,6.5,6.8,4.1,6.65,2.5500000000000007,Upregulated
GAPDH,9.0,9.1,9.2,9.3,9.05,9.25,0.1999999999999993,Upregulated
ACTB,8.5,8.6,8.7,8.8,8.55,8.75,0.1999999999999993,Upregulated
CDK1,2.5,2.7,5.0,5.2,2.6,5.1,2.4999999999999996,Upregulated
BCL2,3.3,3.5,2.0,2.1,3.4,2.05,-1.35,Downregulated
VEGFA,4.8,4.9,7.0,7.2,4.85,7.1,2.25,Upregulated
TNF,2.0,2.1,4.5,4.7,2.05,4.6,2.55,Upregulated
